category,name,movie,year,status
DIRECTING (COMEDY PICTURE),TWO ARABIAN KNIGHTS,Lewis Milestone,1929,winner
DIRECTING (DRAMATIC PICTURE),7TH HEAVEN,Frank Borzage,1929,winner
ENGINEERING EFFECTS,WINGS,Roy Pomeroy,1929,winner
OUTSTANDING PICTURE,WINGS,Paramount Famous Lasky,1929,winner
UNIQUE AND ARTISTIC PICTURE,SUNRISE,Fox,1929,winner
WRITING (ADAPTATION),7TH HEAVEN,Benjamin Glazer,1929,winner
WRITING (ORIGINAL STORY),UNDERWORLD,Ben Hecht,1929,winner
WRITING (TITLE WRITING),,Joseph Farnham,1929,winner
ACTOR,WARNER BAXTER,In Old Arizona,1930,winner
ACTRESS,MARY PICKFORD,Coquette,1930,winner
ART DIRECTION,THE BRIDGE OF SAN LUIS REY,Cedric Gibbons,1930,winner
CINEMATOGRAPHY,WHITE SHADOWS IN THE SOUTH SEAS,Clyde De Vinna,1930,winner
DIRECTING,THE DIVINE LADY,Frank Lloyd,1930,winner
OUTSTANDING PICTURE,THE BROADWAY MELODY,Metro-Goldwyn-Mayer,1930,winner
WRITING,THE PATRIOT,Hans Kraly,1930,winner
ACTOR,GEORGE ARLISS,Disraeli,1931,winner
ACTRESS,NORMA SHEARER,The Divorcee,1931,winner
ART DIRECTION,KING OF JAZZ,Herman Rosse,1931,winner
CINEMATOGRAPHY,WITH BYRD AT THE SOUTH POLE,"Joseph T. Rucker, Willard Van Der Veer",1931,winner
DIRECTING,ALL QUIET ON THE WESTERN FRONT,Lewis Milestone,1931,winner
OUTSTANDING PRODUCTION,ALL QUIET ON THE WESTERN FRONT,Universal,1931,winner
SOUND RECORDING,THE BIG HOUSE,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1931,winner
WRITING,THE BIG HOUSE,Frances Marion,1931,winner
ACTOR,LIONEL BARRYMORE,A Free Soul,1932,winner
ACTRESS,MARIE DRESSLER,Min and Bill,1932,winner
ART DIRECTION,CIMARRON,Cimarron,1932,winner
CINEMATOGRAPHY,TABU,Floyd Crosby,1932,winner
DIRECTING,SKIPPY,Norman Taurog,1932,winner
OUTSTANDING PRODUCTION,CIMARRON,RKO Radio,1932,winner
SOUND RECORDING,,Paramount Publix Studio Sound Department,1932,winner
WRITING (ADAPTATION),CIMARRON,Howard Estabrook,1932,winner
WRITING (ORIGINAL STORY),THE DAWN PATROL,John Monk Saunders,1932,winner
ACTOR,ALFRED LUNT,The Guardsman,1933,winner
ACTRESS,HELEN HAYES,The Sin of Madelon Claudet,1933,winner
ART DIRECTION,TRANSATLANTIC,Gordon Wiles,1933,winner
CINEMATOGRAPHY,SHANGHAI EXPRESS,Lee Garmes,1933,winner
DIRECTING,BAD GIRL,Frank Borzage,1933,winner
OUTSTANDING PRODUCTION,GRAND HOTEL,Metro-Goldwyn-Mayer,1933,winner
SHORT SUBJECT (CARTOON),FLOWERS AND TREES,"Walt Disney, Producer",1933,winner
SHORT SUBJECT (COMEDY),THE MUSIC BOX,"Hal Roach, Producer",1933,winner
SHORT SUBJECT (NOVELTY),WRESTLING SWORDFISH,"Mack Sennett, Producer",1933,winner
SOUND RECORDING,,Paramount Publix Studio Sound Department,1933,winner
WRITING (ADAPTATION),BAD GIRL,Edwin Burke,1933,winner
WRITING (ORIGINAL STORY),THE CHAMP,Frances Marion,1933,winner
ACTOR,CHARLES LAUGHTON,The Private Life of Henry VIII,1934,winner
ACTRESS,KATHARINE HEPBURN,Morning Glory,1934,winner
ART DIRECTION,CAVALCADE,William S. Darling,1934,winner
CINEMATOGRAPHY,A FAREWELL TO ARMS,"Charles Bryant Lang, Jr.",1934,winner
DIRECTING,CAVALCADE,Frank Lloyd,1934,winner
OUTSTANDING PRODUCTION,CAVALCADE,Fox,1934,winner
SHORT SUBJECT (CARTOON),THE THREE LITTLE PIGS,"Walt Disney, Producer",1934,winner
SHORT SUBJECT (COMEDY),SO THIS IS HARRIS,"Louis Brock, Producer",1934,winner
SHORT SUBJECT (NOVELTY),KRAKATOA,"Joe Rock, Producer",1934,winner
SOUND RECORDING,A FAREWELL TO ARMS,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",1934,winner
WRITING (ADAPTATION),LITTLE WOMEN,"Victor Heerman, Sarah Y. Mason",1934,winner
WRITING (ORIGINAL STORY),ONE WAY PASSAGE,Robert Lord,1934,winner
ACTOR,CLARK GABLE,It Happened One Night,1935,winner
ACTRESS,CLAUDETTE COLBERT,It Happened One Night,1935,winner
ART DIRECTION,THE MERRY WIDOW,"Cedric Gibbons, Frederic Hope",1935,winner
ASSISTANT DIRECTOR,VIVA VILLA!,John Waters,1935,winner
CINEMATOGRAPHY,CLEOPATRA,Victor Milner,1935,winner
DIRECTING,IT HAPPENED ONE NIGHT,Frank Capra,1935,winner
FILM EDITING,ESKIMO,Conrad Nervig,1935,winner
MUSIC (SCORING),ONE NIGHT OF LOVE,"Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)",1935,winner
MUSIC (SONG),THE GAY DIVORCEE,"The Continental in ""The Gay Divorcee"" Music by Con Conrad; Lyrics by Herb Magidson",1935,winner
OUTSTANDING PRODUCTION,IT HAPPENED ONE NIGHT,Columbia,1935,winner
SHORT SUBJECT (CARTOON),THE TORTOISE AND THE HARE,"Walt Disney, Producer",1935,winner
SHORT SUBJECT (COMEDY),LA CUCARACHA,"Kenneth Macgowan, Producer",1935,winner
SHORT SUBJECT (NOVELTY),CITY OF WAX,"Stacy Woodard and Horace Woodard, Producers",1935,winner
SOUND RECORDING,ONE NIGHT OF LOVE,"Columbia Studio Sound Department, John Livadary, Sound Director",1935,winner
WRITING (ADAPTATION),IT HAPPENED ONE NIGHT,Robert Riskin,1935,winner
WRITING (ORIGINAL STORY),MANHATTAN MELODRAMA,Arthur Caesar,1935,winner
ACTOR,VICTOR MCLAGLEN,The Informer,1936,winner
ACTRESS,BETTE DAVIS,Dangerous,1936,winner
ART DIRECTION,THE DARK ANGEL,Richard Day,1936,winner
ASSISTANT DIRECTOR,THE LIVES OF A BENGAL LANCER,"Clem Beauchamp, Paul Wing",1936,winner
CINEMATOGRAPHY,A MIDSUMMER NIGHT'S DREAM,Hal Mohr,1936,winner
DIRECTING,THE INFORMER,John Ford,1936,winner
FILM EDITING,A MIDSUMMER NIGHT'S DREAM,Ralph Dawson,1936,winner
MUSIC (SCORING),THE INFORMER,"RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)",1936,winner
MUSIC (SONG),GOLD DIGGERS OF 1935,"Lullaby Of Broadway in ""Gold Diggers of 1935"" Music by Harry Warren; Lyrics by Al Dubin",1936,winner
OUTSTANDING PRODUCTION,MUTINY ON THE BOUNTY,Metro-Goldwyn-Mayer,1936,winner
SHORT SUBJECT (CARTOON),THREE ORPHAN KITTENS,"Walt Disney, Producer",1936,winner
SHORT SUBJECT (COMEDY),HOW TO SLEEP,"Jack Chertok, Producer",1936,winner
SHORT SUBJECT (NOVELTY),WINGS OVER MT. EVEREST,Gaumont British and Skibo Productions,1936,winner
SOUND RECORDING,NAUGHTY MARIETTA,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1936,winner
WRITING (ORIGINAL STORY),THE SCOUNDREL,"Ben Hecht, Charles MacArthur",1936,winner
WRITING (SCREENPLAY),THE INFORMER,Dudley Nichols,1936,winner
ACTOR,PAUL MUNI,The Story of Louis Pasteur,1937,winner
ACTOR IN A SUPPORTING ROLE,WALTER BRENNAN,Come and Get It,1937,winner
ACTRESS,LUISE RAINER,The Great Ziegfeld,1937,winner
ACTRESS IN A SUPPORTING ROLE,GALE SONDERGAARD,Anthony Adverse,1937,winner
ART DIRECTION,DODSWORTH,Richard Day,1937,winner
ASSISTANT DIRECTOR,THE CHARGE OF THE LIGHT BRIGADE,Jack Sullivan,1937,winner
CINEMATOGRAPHY,ANTHONY ADVERSE,Gaetano Gaudio,1937,winner
DANCE DIRECTION,THE GREAT ZIEGFELD,"""A Pretty Girl Is Like a Melody"" from ""The Great Ziegfeld""",1937,winner
DIRECTING,MR. DEEDS GOES TO TOWN,Frank Capra,1937,winner
FILM EDITING,ANTHONY ADVERSE,Ralph Dawson,1937,winner
MUSIC (SCORING),ANTHONY ADVERSE,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Erich Wolfgang Korngold)",1937,winner
MUSIC (SONG),SWING TIME,"The Way You Look Tonight in ""Swing Time"" Music by Jerome Kern; Lyrics by Dorothy Fields",1937,winner
OUTSTANDING PRODUCTION,THE GREAT ZIEGFELD,Metro-Goldwyn-Mayer,1937,winner
SHORT SUBJECT (CARTOON),THE COUNTRY COUSIN,"Walt Disney, Producer",1937,winner
SHORT SUBJECT (COLOR),GIVE ME LIBERTY,Warner Bros.,1937,winner
SHORT SUBJECT (ONE-REEL),BORED OF EDUCATION,"Hal Roach, Producer",1937,winner
SHORT SUBJECT (TWO-REEL),THE PUBLIC PAYS,Metro-Goldwyn-Mayer,1937,winner
SOUND RECORDING,SAN FRANCISCO,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1937,winner
SPECIAL AWARD,THE GARDEN OF ALLAH,Special Award,1937,winner
WRITING (ORIGINAL STORY),THE STORY OF LOUIS PASTEUR,"Pierre Collings, Sheridan Gibney",1937,winner
WRITING (SCREENPLAY),THE STORY OF LOUIS PASTEUR,"Pierre Collings, Sheridan Gibney",1937,winner
ACTOR,SPENCER TRACY,Captains Courageous,1938,winner
ACTOR IN A SUPPORTING ROLE,JOSEPH SCHILDKRAUT,The Life of Emile Zola,1938,winner
ACTRESS,LUISE RAINER,The Good Earth,1938,winner
ACTRESS IN A SUPPORTING ROLE,ALICE BRADY,In Old Chicago,1938,winner
ART DIRECTION,LOST HORIZON,Stephen Goosson,1938,winner
ASSISTANT DIRECTOR,IN OLD CHICAGO,Robert Webb,1938,winner
CINEMATOGRAPHY,THE GOOD EARTH,Karl Freund,1938,winner
DANCE DIRECTION,A DAMSEL IN DISTRESS,"""Fun House"" from ""A Damsel in Distress""",1938,winner
DIRECTING,THE AWFUL TRUTH,Leo McCarey,1938,winner
FILM EDITING,LOST HORIZON,"Gene Havlick, Gene Milford",1938,winner
IRVING G. THALBERG MEMORIAL AWARD,,Darryl F. Zanuck,1938,winner
MUSIC (SCORING),ONE HUNDRED MEN AND A GIRL,"Universal Studio Music Department, Charles Previn, head of department (no composer credit)",1938,winner
MUSIC (SONG),WAIKIKI WEDDING,"Sweet Leilani in ""Waikiki Wedding"" Music and Lyrics by Harry Owens",1938,winner
OUTSTANDING PRODUCTION,THE LIFE OF EMILE ZOLA,Warner Bros.,1938,winner
SHORT SUBJECT (CARTOON),THE OLD MILL,"Walt Disney, Producer",1938,winner
SHORT SUBJECT (COLOR),PENNY WISDOM,"Pete Smith, Producer",1938,winner
SHORT SUBJECT (ONE-REEL),THE PRIVATE LIFE OF THE GANNETS,Skibo Productions,1938,winner
SHORT SUBJECT (TWO-REEL),TORTURE MONEY,Metro-Goldwyn-Mayer,1938,winner
SOUND RECORDING,THE HURRICANE,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",1938,winner
SPECIAL AWARD,A STAR IS BORN,Special Award,1938,winner
WRITING (ORIGINAL STORY),A STAR IS BORN,"William A. Wellman, Robert Carson",1938,winner
WRITING (SCREENPLAY),THE LIFE OF EMILE ZOLA,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",1938,winner
ACTOR,SPENCER TRACY,Boys Town,1939,winner
ACTOR IN A SUPPORTING ROLE,WALTER BRENNAN,Kentucky,1939,winner
ACTRESS,BETTE DAVIS,Jezebel,1939,winner
ACTRESS IN A SUPPORTING ROLE,FAY BAINTER,Jezebel,1939,winner
ART DIRECTION,THE ADVENTURES OF ROBIN HOOD,Carl J. Weyl,1939,winner
CINEMATOGRAPHY,THE GREAT WALTZ,Joseph Ruttenberg,1939,winner
DIRECTING,YOU CAN'T TAKE IT WITH YOU,Frank Capra,1939,winner
FILM EDITING,THE ADVENTURES OF ROBIN HOOD,Ralph Dawson,1939,winner
IRVING G. THALBERG MEMORIAL AWARD,,Hal B. Wallis,1939,winner
MUSIC (ORIGINAL SCORE),THE ADVENTURES OF ROBIN HOOD,Erich Wolfgang Korngold,1939,winner
MUSIC (SCORING),ALEXANDER'S RAGTIME BAND,Alfred Newman,1939,winner
MUSIC (SONG),THE BIG BROADCAST OF 1938,"Thanks For The Memory in ""The Big Broadcast of 1938"" Music by Ralph Rainger; Lyrics by Leo Robin",1939,winner
OUTSTANDING PRODUCTION,YOU CAN'T TAKE IT WITH YOU,Columbia,1939,winner
SHORT SUBJECT (CARTOON),FERDINAND THE BULL,"Walt Disney, Producer",1939,winner
SHORT SUBJECT (ONE-REEL),THAT MOTHERS MIGHT LIVE,Metro-Goldwyn-Mayer,1939,winner
SHORT SUBJECT (TWO-REEL),DECLARATION OF INDEPENDENCE,Warner Bros.,1939,winner
SOUND RECORDING,THE COWBOY AND THE LADY,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",1939,winner
WRITING (ORIGINAL STORY),BOYS TOWN,"Dore Schary, Eleanore Griffin",1939,winner
WRITING (SCREENPLAY),PYGMALION,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",1939,winner
ACTOR,ROBERT DONAT,"Goodbye, Mr. Chips",1940,winner
ACTOR IN A SUPPORTING ROLE,THOMAS MITCHELL,Stagecoach,1940,winner
ACTRESS,VIVIEN LEIGH,Gone with the Wind,1940,winner
ACTRESS IN A SUPPORTING ROLE,HATTIE MCDANIEL,Gone with the Wind,1940,winner
ART DIRECTION,GONE WITH THE WIND,Lyle Wheeler,1940,winner
CINEMATOGRAPHY (BLACK-AND-WHITE),WUTHERING HEIGHTS,Gregg Toland,1940,winner
CINEMATOGRAPHY (COLOR),GONE WITH THE WIND,"Ernest Haller, Ray Rennahan",1940,winner
DIRECTING,GONE WITH THE WIND,Victor Fleming,1940,winner
FILM EDITING,GONE WITH THE WIND,"Hal C. Kern, James E. Newcom",1940,winner
IRVING G. THALBERG MEMORIAL AWARD,,David O. Selznick,1940,winner
MUSIC (ORIGINAL SCORE),THE WIZARD OF OZ,Herbert Stothart,1940,winner
MUSIC (SCORING),STAGECOACH,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",1940,winner
MUSIC (SONG),THE WIZARD OF OZ,"Over The Rainbow in ""The Wizard of Oz"" Music by Harold Arlen; Lyrics by E. Y. Harburg",1940,winner
OUTSTANDING PRODUCTION,GONE WITH THE WIND,Selznick International Pictures,1940,winner
SHORT SUBJECT (CARTOON),THE UGLY DUCKLING,"Walt Disney, Producer",1940,winner
SHORT SUBJECT (ONE-REEL),BUSY LITTLE BEARS,Paramount,1940,winner
SHORT SUBJECT (TWO-REEL),SONS OF LIBERTY,Warner Bros.,1940,winner
SOUND RECORDING,WHEN TOMORROW COMES,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",1940,winner
SPECIAL AWARD,GONE WITH THE WIND,Special Award,1940,winner
SPECIAL EFFECTS,THE RAINS CAME,"Fred Sersen, E. H. Hansen",1940,winner
WRITING (ORIGINAL STORY),MR. SMITH GOES TO WASHINGTON,Lewis R. Foster,1940,winner
WRITING (SCREENPLAY),GONE WITH THE WIND,Sidney Howard,1940,winner
ACTOR,JAMES STEWART,The Philadelphia Story,1941,winner
ACTOR IN A SUPPORTING ROLE,WALTER BRENNAN,The Westerner,1941,winner
ACTRESS,GINGER ROGERS,Kitty Foyle,1941,winner
ACTRESS IN A SUPPORTING ROLE,JANE DARWELL,The Grapes of Wrath,1941,winner
ART DIRECTION (BLACK-AND-WHITE),PRIDE AND PREJUDICE,"Cedric Gibbons, Paul Groesse",1941,winner
ART DIRECTION (COLOR),THE THIEF OF BAGDAD,Vincent Korda,1941,winner
CINEMATOGRAPHY (BLACK-AND-WHITE),REBECCA,George Barnes,1941,winner
CINEMATOGRAPHY (COLOR),THE THIEF OF BAGDAD,The Thief of Bagdad,1941,winner
DIRECTING,THE GRAPES OF WRATH,John Ford,1941,winner
FILM EDITING,NORTH WEST MOUNTED POLICE,Anne Bauchens,1941,winner
MUSIC (ORIGINAL SCORE),PINOCCHIO,"Leigh Harline, Paul J. Smith, Ned Washington",1941,winner
MUSIC (SCORING),TIN PAN ALLEY,Alfred Newman,1941,winner
MUSIC (SONG),PINOCCHIO,"When You Wish Upon A Star in ""Pinocchio"" Music by Leigh Harline; Lyrics by Ned Washington",1941,winner
OUTSTANDING PRODUCTION,REBECCA,Selznick International Pictures,1941,winner
SHORT SUBJECT (CARTOON),THE MILKY WAY,Metro-Goldwyn-Mayer,1941,winner
SHORT SUBJECT (ONE-REEL),QUICKER 'N A WINK,"Pete Smith, Producer",1941,winner
SHORT SUBJECT (TWO-REEL),"TEDDY, THE ROUGH RIDER",Warner Bros.,1941,winner
SOUND RECORDING,STRIKE UP THE BAND,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1941,winner
SPECIAL EFFECTS,THE THIEF OF BAGDAD,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,1941,winner
WRITING (ORIGINAL SCREENPLAY),THE GREAT MCGINTY,Preston Sturges,1941,winner
WRITING (ORIGINAL STORY),"ARISE, MY LOVE","Benjamin Glazer, John S. Toldy",1941,winner
WRITING (SCREENPLAY),THE PHILADELPHIA STORY,Donald Ogden Stewart,1941,winner
ACTOR,GARY COOPER,Sergeant York,1942,winner
ACTOR IN A SUPPORTING ROLE,DONALD CRISP,How Green Was My Valley,1942,winner
ACTRESS,JOAN FONTAINE,Suspicion,1942,winner
ACTRESS IN A SUPPORTING ROLE,MARY ASTOR,The Great Lie,1942,winner
ART DIRECTION (BLACK-AND-WHITE),HOW GREEN WAS MY VALLEY,"Art Direction: Richard Day, Nathan Juran; Interior Decoration: Thomas Little",1942,winner
ART DIRECTION (COLOR),BLOSSOMS IN THE DUST,"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis",1942,winner
CINEMATOGRAPHY (BLACK-AND-WHITE),HOW GREEN WAS MY VALLEY,Arthur Miller,1942,winner
CINEMATOGRAPHY (COLOR),BLOOD AND SAND,"Ernest Palmer, Ray Rennahan",1942,winner
DIRECTING,HOW GREEN WAS MY VALLEY,John Ford,1942,winner
DOCUMENTARY (SHORT SUBJECT),CHURCHILL'S ISLAND,National Film Board of Canada,1942,winner
FILM EDITING,SERGEANT YORK,William Holmes,1942,winner
IRVING G. THALBERG MEMORIAL AWARD,,Walt Disney,1942,winner
MUSIC (MUSIC SCORE OF A DRAMATIC PICTURE),ALL THAT MONEY CAN BUY,Bernard Herrmann,1942,winner
MUSIC (SCORING OF A MUSICAL PICTURE),DUMBO,"Frank Churchill, Oliver Wallace",1942,winner
MUSIC (SONG),LADY BE GOOD,"The Last Time I Saw Paris in ""Lady Be Good"" Music by Jerome Kern; Lyrics by Oscar Hammerstein II",1942,winner
OUTSTANDING MOTION PICTURE,HOW GREEN WAS MY VALLEY,20th Century-Fox,1942,winner
SHORT SUBJECT (CARTOON),LEND A PAW,"Walt Disney, Producer",1942,winner
SHORT SUBJECT (ONE-REEL),OF PUPS AND PUZZLES,Metro-Goldwyn-Mayer,1942,winner
SHORT SUBJECT (TWO-REEL),MAIN STREET ON THE MARCH!,Metro-Goldwyn-Mayer,1942,winner
SOUND RECORDING,THAT HAMILTON WOMAN,"General Service Sound Department, Jack Whitney, Sound Director",1942,winner
SPECIAL EFFECTS,I WANTED WINGS,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",1942,winner
WRITING (ORIGINAL SCREENPLAY),CITIZEN KANE,"Herman J. Mankiewicz, Orson Welles",1942,winner
WRITING (ORIGINAL STORY),HERE COMES MR. JORDAN,Harry Segall,1942,winner
WRITING (SCREENPLAY),HERE COMES MR. JORDAN,"Sidney Buchman, Seton I. Miller",1942,winner
ACTOR,JAMES CAGNEY,Yankee Doodle Dandy,1943,winner
ACTOR IN A SUPPORTING ROLE,VAN HEFLIN,Johnny Eager,1943,winner
ACTRESS,GREER GARSON,Mrs. Miniver,1943,winner
ACTRESS IN A SUPPORTING ROLE,TERESA WRIGHT,Mrs. Miniver,1943,winner
ART DIRECTION (BLACK-AND-WHITE),THIS ABOVE ALL,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",1943,winner
ART DIRECTION (COLOR),MY GAL SAL,"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little",1943,winner
CINEMATOGRAPHY (BLACK-AND-WHITE),MRS. MINIVER,Joseph Ruttenberg,1943,winner
CINEMATOGRAPHY (COLOR),THE BLACK SWAN,Leon Shamroy,1943,winner
DIRECTING,MRS. MINIVER,William Wyler,1943,winner
FILM EDITING,THE PRIDE OF THE YANKEES,Daniel Mandell,1943,winner
IRVING G. THALBERG MEMORIAL AWARD,,Sidney Franklin,1943,winner
MUSIC (MUSIC SCORE OF A DRAMATIC OR COMEDY PICTURE),"NOW, VOYAGER",Max Steiner,1943,winner
MUSIC (SCORING OF A MUSICAL PICTURE),YANKEE DOODLE DANDY,"Ray Heindorf, Heinz Roemheld",1943,winner
MUSIC (SONG),HOLIDAY INN,"White Christmas in ""Holiday Inn"" Music and Lyrics by Irving Berlin",1943,winner
OUTSTANDING MOTION PICTURE,MRS. MINIVER,Metro-Goldwyn-Mayer,1943,winner
SHORT SUBJECT (CARTOON),DER FUEHRER'S FACE,"Walt Disney, Producer",1943,winner
SHORT SUBJECT (ONE-REEL),SPEAKING OF ANIMALS AND THEIR FAMILIES,Paramount,1943,winner
SHORT SUBJECT (TWO-REEL),BEYOND THE LINE OF DUTY,Warner Bros.,1943,winner
SOUND RECORDING,YANKEE DOODLE DANDY,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",1943,winner
SPECIAL AWARD,IN WHICH WE SERVE,Special Award,1943,winner
SPECIAL EFFECTS,REAP THE WILD WIND,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",1943,winner
WRITING (ORIGINAL MOTION PICTURE STORY),THE INVADERS,Emeric Pressburger,1943,winner
WRITING (ORIGINAL SCREENPLAY),WOMAN OF THE YEAR,"Ring Lardner, Jr., Michael Kanin",1943,winner
WRITING (SCREENPLAY),MRS. MINIVER,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",1943,winner
ACTOR,PAUL LUKAS,Watch on the Rhine,1944,winner
ACTOR IN A SUPPORTING ROLE,CHARLES COBURN,The More the Merrier,1944,winner
ACTRESS,JENNIFER JONES,The Song of Bernadette,1944,winner
ACTRESS IN A SUPPORTING ROLE,KATINA PAXINOU,For Whom the Bell Tolls,1944,winner
ART DIRECTION (BLACK-AND-WHITE),THE SONG OF BERNADETTE,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little",1944,winner
ART DIRECTION (COLOR),PHANTOM OF THE OPERA,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb",1944,winner
CINEMATOGRAPHY (BLACK-AND-WHITE),THE SONG OF BERNADETTE,Arthur Miller,1944,winner
CINEMATOGRAPHY (COLOR),PHANTOM OF THE OPERA,"Hal Mohr, W. Howard Greene",1944,winner
DIRECTING,CASABLANCA,Michael Curtiz,1944,winner
DOCUMENTARY (FEATURE),DESERT VICTORY,British Ministry of Information,1944,winner
DOCUMENTARY (SHORT SUBJECT),DECEMBER 7TH,United States Navy,1944,winner
FILM EDITING,AIR FORCE,George Amy,1944,winner
IRVING G. THALBERG MEMORIAL AWARD,,Hal B. Wallis,1944,winner
MUSIC (MUSIC SCORE OF A DRAMATIC OR COMEDY PICTURE),THE SONG OF BERNADETTE,Alfred Newman,1944,winner
MUSIC (SCORING OF A MUSICAL PICTURE),THIS IS THE ARMY,Ray Heindorf,1944,winner
MUSIC (SONG),"HELLO, FRISCO, HELLO","You'll Never Know in ""Hello, Frisco, Hello"" Music by Harry Warren; Lyrics by Mack Gordon",1944,winner
OUTSTANDING MOTION PICTURE,CASABLANCA,Warner Bros.,1944,winner
SHORT SUBJECT (CARTOON),YANKEE DOODLE MOUSE,"Frederick Quimby, Producer",1944,winner
SHORT SUBJECT (ONE-REEL),AMPHIBIOUS FIGHTERS,"Grantland Rice, Producer",1944,winner
SHORT SUBJECT (TWO-REEL),HEAVENLY MUSIC,"Jerry Bresler and Sam Coslow, Producers",1944,winner
SOUND RECORDING,THIS LAND IS MINE,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",1944,winner
SPECIAL EFFECTS,CRASH DIVE,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,1944,winner
WRITING (ORIGINAL MOTION PICTURE STORY),THE HUMAN COMEDY,William Saroyan,1944,winner
WRITING (ORIGINAL SCREENPLAY),PRINCESS O'ROURKE,Norman Krasna,1944,winner
WRITING (SCREENPLAY),CASABLANCA,"Julius J. Epstein, Philip G. Epstein, Howard Koch",1944,winner
ACTOR,BING CROSBY,Going My Way,1945,winner
ACTOR IN A SUPPORTING ROLE,BARRY FITZGERALD,Going My Way,1945,winner
ACTRESS,INGRID BERGMAN,Gaslight,1945,winner
ACTRESS IN A SUPPORTING ROLE,ETHEL BARRYMORE,None but the Lonely Heart,1945,winner
ART DIRECTION (BLACK-AND-WHITE),GASLIGHT,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky",1945,winner
ART DIRECTION (COLOR),WILSON,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little,1945,winner
CINEMATOGRAPHY (BLACK-AND-WHITE),LAURA,Joseph LaShelle,1945,winner
CINEMATOGRAPHY (COLOR),WILSON,Leon Shamroy,1945,winner
DIRECTING,GOING MY WAY,Leo McCarey,1945,winner
DOCUMENTARY (FEATURE),THE FIGHTING LADY,United States Navy,1945,winner
DOCUMENTARY (SHORT SUBJECT),WITH THE MARINES AT TARAWA,United States Marine Corps,1945,winner
FILM EDITING,WILSON,Barbara McLean,1945,winner
IRVING G. THALBERG MEMORIAL AWARD,,Darryl F. Zanuck,1945,winner
MUSIC (MUSIC SCORE OF A DRAMATIC OR COMEDY PICTURE),SINCE YOU WENT AWAY,Max Steiner,1945,winner
MUSIC (SCORING OF A MUSICAL PICTURE),COVER GIRL,"Morris Stoloff, Carmen Dragon",1945,winner
MUSIC (SONG),GOING MY WAY,"Swinging On A Star in ""Going My Way"" Music by James Van Heusen; Lyrics by Johnny Burke",1945,winner
BEST MOTION PICTURE,GOING MY WAY,Paramount,1945,winner
SHORT SUBJECT (CARTOON),MOUSE TROUBLE,"Frederick C. Quimby, Producer",1945,winner
SHORT SUBJECT (ONE-REEL),WHO'S WHO IN ANIMAL LAND,"Jerry Fairbanks, Producer",1945,winner
SHORT SUBJECT (TWO-REEL),I WON'T PLAY,"Gordon Hollingshead, Producer",1945,winner
SOUND RECORDING,WILSON,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",1945,winner
SPECIAL EFFECTS,THIRTY SECONDS OVER TOKYO,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",1945,winner
WRITING (ORIGINAL MOTION PICTURE STORY),GOING MY WAY,Leo McCarey,1945,winner
WRITING (ORIGINAL SCREENPLAY),WILSON,Lamar Trotti,1945,winner
WRITING (SCREENPLAY),GOING MY WAY,"Frank Butler, Frank Cavett",1945,winner
ACTOR,RAY MILLAND,The Lost Weekend,1946,winner
ACTOR IN A SUPPORTING ROLE,JAMES DUNN,A Tree Grows in Brooklyn,1946,winner
ACTRESS,JOAN CRAWFORD,Mildred Pierce,1946,winner
